          CARTESIAN COORDINATES
    NO.       ATOM               X         Y         Z
       1 C        0.18711802      -0.00000506      0.00010201
       2 C        -0.53331512      -1.22953398      -0.00852799
       3 C        -0.53329085      1.22953903      0.00868801
       4 C        1.68455503      -0.00001723      0.00008501
       5 C        2.40634306      0.23047570      1.18050302
       6 C        2.40628601      -0.23052331      -1.18037199
       7 C        3.80226601      -0.24529446      -1.19185199
       8 C        4.48016704      -0.00004454      0.00001701
       9 C        3.80232807      0.24522254      1.19191302
       10 N        5.93451403      -0.00004670      -0.00000799
       11 C        6.63839291      -1.26100778      -0.00795099
       12 C        6.63839619      1.26091423      0.00782401
       13 C        -1.95597786      1.19558419      0.01015601
       14 C        -1.95600312      -1.19554783      -0.00998699
       15 O        -2.63377599      0.00002225      0.00015501
       16 C        0.03279074      -2.53060705      0.00230001
       17 C        -0.73776839      -3.68241197      -0.00260999
       18 C        -2.15684039      -3.61942982      -0.02184699
       19 C        -2.74501425      -2.33058075      -0.01461899
       20 C        0.03284230      2.53059997      -0.00223099
       21 C        -0.73769557      3.68241806      0.00260101
       22 C        -2.15677059      3.61946822      0.02182901
       23 C        -2.74496974      2.33063028      0.01468901
       24 N        -2.93350752      -4.75834373      -0.05150599
       25 N        -2.93340346      4.75841131      0.05138201
       26 C        -4.38135052      -4.65221358      0.06588401
       27 C        -2.31092466      -6.06816583      0.07633202
       28 C        -4.38126748      4.65230647      -0.06573899
       29 C        -2.31080132      6.06817922      -0.07693799
       30 H        1.86867598      -0.40765325      -2.10531700
       31 H        1.86878807      0.40761476      2.10547803
       32 H        4.34223999      -0.42917952      -2.11551099
       33 H        4.34235109      0.42910648      2.11554402
       34 H        1.11203032      2.63465185      -0.02103199
       35 H        -0.23399947      4.64019101      -0.01167099
       36 H        -3.81760676      2.19074239      0.01139101
       37 H        1.11197673      -2.63468117      0.02110101
       38 H        -0.23409050      -4.64019503      0.01163301
       39 H        -3.81765024      -2.19067663      -0.01134799
       40 H        6.50206585      -1.72930876      -0.99264799
       41 H        7.70015391      -1.11541190      0.18346802
       42 H        6.18643583      -1.92793473      0.72958602
       43 H        6.50202526      1.72933625      0.99245002
       44 H        7.70016417      1.11528811      -0.18354899
       45 H        6.18649224      1.92775028      -0.72983599
       46 H        -3.07842875      -6.83732073      -0.00970699
       47 H        -1.58029368      -6.23862789      -0.72277199
       48 H        -1.80280467      -6.19681289      1.04335002
       49 H        -4.81956963      -5.64747254      -0.00744499
       50 H        -4.68946747      -4.20998954      1.02447602
       51 H        -4.79975845      -4.04389653      -0.74417899
       52 H        -4.79949255      4.04387251      0.74432502
       53 H        -4.81946538      5.64755652      0.00785501
       54 H        -4.68960253      4.21022850      -1.02433199
       55 H        -3.07832824      6.83736735      0.00859201
       56 H        -1.58030729      6.23903017      0.72221302
       57 H        -1.80252030      6.19637219      -1.04392799
  

          CARTESIAN COORDINATES
    NO.       ATOM               X         Y         Z
